"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CEG35067",9.6154435420708,0.746353149798772,0.712654565217145,163.104268652188,5.89033787148193e-27,1.00261070152884e-26
"CEG35069",334.044455703385,5.86447472242703,0.900804959475736,182.328632483403,8.05953289578168e-31,1.47627391336585e-30
"CEG35070",27.8898246694597,0.628508351834598,0.343508131751806,159.948894833033,2.51707532470213e-26,4.23872703015226e-26
"CEG35072",2.37407396603544,-0.350694091037098,1.42203793163624,50.896463318871,8.58623670636627e-06,9.8763326600906e-06
"CEG35073",93.6818183114483,-0.322111521241797,0.268825069104608,863.944585290402,1.82690741598553e-174,2.75110763818998e-173
"CEG35074",82.4053385993181,-0.679819509858302,0.371879643919409,653.192351147498,1.73270917446027e-129,1.45912351533497e-128
"CEG35075",118.309905328403,-0.47433604103554,0.315174362759325,312.61995602353,1.32599457410178e-57,3.840853258317e-57
"CEG35076",550.915777168023,-0.185237979870614,0.239486425302065,582.669991933986,1.70217059312867e-114,1.17138621462618e-113
"CEG35077",150.636179931019,0.0146476788755204,0.1787590269666,209.10801435435,2.97811350967189e-36,5.99463011854068e-36
"CEG35078",233.155628619496,0.0554215987249752,0.184851841324116,63.2112715954204,7.01623038554371e-08,8.35654126127844e-08
"CEG35079",2.19991235038428,-0.639061747865394,0.88251756339422,58.0683023917534,5.40106010725402e-07,6.34136574691354e-07
"CEG35080",2.29100524085949,-1.18099491730349,0.927209389517643,63.6124961925272,5.97300328611401e-08,7.12529748949295e-08
"CEG35081",370.863934083626,0.745626034866058,0.288569879878413,1205.40097962878,1.13170063708702e-247,4.03503291217656e-246
"CEG35082",4.29786021881961,-1.03754367576139,0.685547593284749,51.7545967203522,6.20122733758153e-06,7.14710155961134e-06
"CEG35083",4.56046851607335,0.553279703424488,0.569232013859393,42.2241131075954,0.000207580001931263,0.000232827201605342
"CEG35084",450.808784866237,-1.32743354668294,0.544398367233082,480.073253318017,9.22486090297259e-93,4.61603673018175e-92
"CEG35085",124.282267934761,-1.0634724862409,0.381935801471363,365.785746696652,1.04329392985531e-68,3.63279714421871e-68
"CEG35086",14.3985842906311,-2.14937714033547,0.961494508005909,97.5277912636226,3.83042056618251e-14,5.13611808580936e-14
"CEG35087",363.250437893481,-0.643395080566883,0.474884213458376,646.703271809151,4.16595981693352e-128,3.42480961186571e-127
"CEG35088",258.987862999943,-0.479563937711568,0.248106507436576,249.470960160013,1.59556799238387e-44,3.70725545516673e-44
"CEG35089",58.7865283841673,-0.591841193935559,0.289173269196769,516.783694028068,1.58688942634318e-100,8.92450995482983e-100
"CEG35090",86.3905935832168,-0.779020084768167,0.39495187797354,404.365442258619,8.36530763153917e-77,3.28051279668203e-76
"CEG35091",172.966086898855,0.464982247116964,0.249164820196876,311.913780093295,1.86013344200122e-57,5.37222654729595e-57
