Gene_id	Description	T5min_1	T5min_2	T5min_3	T15min_1	T15min_2	T15min_3	T4h_1	T4h_2	T4h_3	T8h_1	T8h_2	T8h_3	T12h_1	T12h_2	T12h_3	T24h_1	T24h_2	T24h_3	T48h_1	T48h_2	T48h_3	T72h_1	T72h_2	T72h_3	T120h_1	T120h_2	T120h_3	T221h_1	T221h_2	T221h_3	T288h_1	T288h_2	T288h_3	T290h_1	T290h_2	T290h_3	T292h_1	T292h_2	T292h_3	T294h_1	T294h_2	T294h_3	T296h_1	T296h_2	T296h_3	T296h_1prim	T296h_2prim	T296h_3prim
CEG35065	hypothetical_protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEG35066	hypothetical_protein	3	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	5	8	3	1	6	8	2	0	3	5	7	5	7	7	5	8	7	1
CEG35067	RxLR-like_protein	26	15	15	45	53	49	1	3	10	0	0	2	0	0	0	1	0	0	2	4	2	8	2	3	4	2	2	34	3	45	66	67	25	43	102	93	35	32	40	15	43	27	3	4	4	5	2	2
CEG35068	atp_synthase_subunit_beta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEG35069	hypothetical_protein	4	0	0	0	0	3	101	99	124	105	112	106	83	125	81	74	71	58	54	34	37	64	63	35	480	300	359	678	679	680	721	288	242	287	224	326	614	474	541	1198	43	1045	175	22	1304	4	21	8
CEG35070	hypothetical_protein	143	184	235	149	221	208	3	20	42	0	3	0	0	3	5	3	0	4	20	10	1	2	3	1	19	13	18	106	29	84	156	146	76	70	126	159	53	37	54	64	40	73	45	47	63	41	61	47
CEG35071	hypothetical_protein	16	51	35	25	22	33	4	0	1	0	2	0	0	0	3	0	0	0	0	2	0	1	0	5	0	4	5	25	11	23	28	27	25	18	20	31	16	14	5	13	12	23	7	7	16	2	11	14
CEG35072	hypothetical_protein	29	27	33	22	41	43	0	6	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	1	0	0	2	2	13	7	0	4	3	0	3	2	0	0	1	0	0	1	0	0	3
CEG35073	hypothetical_protein	796	905	1139	694	945	1011	1	4	4	0	9	2	0	0	2	1	0	2	3	0	0	0	0	0	10	3	6	117	28	134	140	238	126	133	158	183	234	213	248	630	356	747	1626	2155	586	2623	2651	1926
CEG35074	hypothetical_protein	1249	1423	1639	1301	1969	2130	0	12	16	0	3	5	2	0	1	0	0	3	0	3	0	0	0	1	3	1	4	55	11	65	98	108	44	72	135	139	105	59	119	153	107	139	851	1371	179	1845	1603	1454
CEG35075	TELOMERIC_REPEAT_BINDING_PROTEIN	1261	1531	1929	1322	1785	1964	6	7	12	3	25	15	8	6	13	13	0	6	8	18	4	0	6	13	49	18	9	168	72	192	294	408	222	201	326	386	276	232	278	328	272	405	1082	1350	305	1756	1750	1502
CEG35076	camk_protein_kinase	1408	1406	2186	1483	2172	2319	221	615	843	106	237	157	60	70	107	51	39	55	104	116	32	16	29	39	97	62	94	680	184	649	679	1240	716	775	1552	1419	986	954	1040	1633	1379	2705	2695	3009	1148	3917	4104	2463
CEG35077	exodeoxyribonuclease_iii	1097	1240	1567	1019	1386	1505	10	6	17	11	37	27	34	12	21	28	11	14	20	15	10	11	24	11	66	47	43	466	119	531	710	904	479	548	987	888	544	498	521	446	505	788	501	700	314	655	718	691
CEG35078	dna_polymerase_subunit_alpha	758	830	1041	793	992	1080	6	60	68	21	72	50	39	14	37	39	7	35	33	58	11	14	22	54	145	67	125	977	166	860	1214	1547	783	854	1802	1684	1065	933	1112	972	984	1490	869	1140	780	989	1319	1552
CEG35079	hypothetical_protein	54	39	51	50	36	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	6	0	8	16	7	10	13	5	1	9	13	15	32	1	41	20	34
CEG35080	hypothetical_protein	10	13	3	11	14	11	0	0	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	1	0	0	2	4	0	2	4	5	4	1	1	1	2	1	1	2	5	5	7	3	0	2	8	25
CEG35081	Membrane_coat_complex_Retromer,_subunit_VPS5/SNX1,_Sorting_nexins,_and_related_PX_domain-containing_proteins	803	819	570	744	649	505	2	10	22	6	16	2	38	35	45	184	44	319	201	397	168	187	166	362	152	76	137	268	71	293	604	665	361	233	344	316	182	111	179	228	322	270	398	412	376	302	251	497
CEG35082	hypothetical_protein	31	28	41	17	31	16	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	1	5	1	22	26	51	13	16	19	17	3	16	21	37	23	26	42	70	6	93	109	114
