genes	cluster
CEG35206	CEG35206	1
CEG35595	CEG35595	1
CEG36378	CEG36378	1
CEG36642	CEG36642	1
CEG36786	CEG36786	1
CEG38416	CEG38416	1
CEG38751	CEG38751	1
CEG38951	CEG38951	1
CEG39160	CEG39160	1
CEG39234	CEG39234	1
CEG39529	CEG39529	1
CEG40697	CEG40697	1
CEG42021	CEG42021	1
CEG42064	CEG42064	1
CEG43721	CEG43721	1
CEG44871	CEG44871	1
CEG45255	CEG45255	1
CEG45303	CEG45303	1
CEG45554	CEG45554	1
CEG45767	CEG45767	1
CEG45773	CEG45773	1
CEG46165	CEG46165	1
CEG47402	CEG47402	1
CEG47561	CEG47561	1
CEG47681	CEG47681	1
CEG47730	CEG47730	1
CEG38854	CEG38854	1
CEG50476	CEG50476	1
CEG49099	CEG49099	1
CEG43451	CEG43451	1
CEG46717	CEG46717	1
CEG36842	CEG36842	1
CEG37014	CEG37014	1
CEG48201	CEG48201	1
CEG44404	CEG44404	1
CEG48333	CEG48333	1
CEG42919	CEG42919	1
CEG49414	CEG49414	1
CEG42619	CEG42619	1
CEG45631	CEG45631	1
CEG44875	CEG44875	1
CEG50173	CEG50173	1
CEG41495	CEG41495	1
CEG50158	CEG50158	1
CEG42290	CEG42290	1
CEG46091	CEG46091	1
CEG47306	CEG47306	1
CEG43115	CEG43115	1
CEG39825	CEG39825	1
CEG36326	CEG36326	1
CEG48402	CEG48402	1
CEG39388	CEG39388	1
CEG42466	CEG42466	1
CEG40359	CEG40359	1
CEG43529	CEG43529	1
CEG35443	CEG35443	1
CEG45361	CEG45361	1
CEG42518	CEG42518	1
CEG45565	CEG45565	1
CEG35767	CEG35767	1
CEG47198	CEG47198	1
ENSRNAG00050153114	ENSRNAG00050153114	1
CEG40480	CEG40480	1
CEG49852	CEG49852	1
CEG37616	CEG37616	1
CEG39871	CEG39871	1
CEG43263	CEG43263	1
CEG45304	CEG45304	1
ENSRNAG00050153200	ENSRNAG00050153200	1
CEG38552	CEG38552	1
CEG45207	CEG45207	1
CEG48943	CEG48943	1
CEG39936	CEG39936	1
CEG48983	CEG48983	1
ENSRNAG00050152936	ENSRNAG00050152936	1
CEG35982	CEG35982	1
CEG40262	CEG40262	1
CEG36336	CEG36336	1
ENSRNAG00050152934	ENSRNAG00050152934	1
ENSRNAG00050153182	ENSRNAG00050153182	1
CEG43903	CEG43903	1
CEG42321	CEG42321	1
CEG36678	CEG36678	1
CEG39120	CEG39120	1
CEG43239	CEG43239	1
ENSRNAG00050153026	ENSRNAG00050153026	1
CEG48936	CEG48936	1
CEG37594	CEG37594	1
CEG43416	CEG43416	1
CEG48136	CEG48136	1
ENSRNAG00050153028	ENSRNAG00050153028	1
CEG42510	CEG42510	1
