Query_Id	Subject_Id	% Identity	Alignment length	Mismatch	Gapopenings	Query_start	Query_end	Subject_Start	Subject_end	E-value	Bit_Score	Coverage (%)
AvrM	ABB96264.1	100	314	0	0	1	314	1	314	0	637	100
AvrM	4BJM_A	100	235	0	0	46	280	4	238	1.02E-165	471	100
AvrL567-A	AAS66948.1	100	150	0	0	1	150	1	150	1.28E-108	316	100
AvrL567-A	2OPC_A	100	127	0	0	24	150	1	127	3.98E-91	271	100
AvrP123	ABB96267.1	100	117	0	0	1	117	1	117	4.95E-80	241	100
AvrP4	ABB96261.1	100	95	0	0	1	95	1	95	3.19E-60	189	100
AvrM14	ANY58851.1	100	166	0	0	1	166	1	166	2.02E-119	345	100
AvrM14	8DP8_A	100	146	0	0	21	166	3	148	2.90E-103	303	100
AvrL2-A	ANY58853.1	100	150	0	0	1	150	1	150	3.32E-105	307	100
RTP1	CAI96535.1	100	220	0	0	1	220	1	220	1.74E-163	460	100
AvrSr50	KAA1079665.1	100	132	0	0	1	132	1	132	1.51E-93	276	100
AvrSr35	AUI41041.1	100	578	0	0	1	578	1	578	0	1184	100
AvrSr35	7XE0_B	100	553	0	0	26	578	23	575	0	1129	100
AvrSr35	7XC2_B	100	434	0	0	128	561	1	434	0	887	100
PEC6	POW04470.1	100	88	0	0	1	88	92	179	9.52E-59	188	100
PEC6	POW20114.1	100	88	0	0	1	88	61	148	1.63E-58	186	100
Pst02549	POV98389.1	100	177	0	0	1	177	4	180	4.67E-128	367	100
Pst02549	XP_047813297.1	100	177	0	0	1	177	1	177	4.95E-128	367	100
Pst02549	KAI9603993.1	100	104	0	0	1	104	1	104	7.36E-69	215	100
PNPi	XP_047808022.1	100	333	0	0	1	333	1	333	0	679	100
PNPi	QNN30833.1	100	140	0	0	27	166	1	140	1.52E-91	280	100
PNPi	QNU13159.1	100	139	0	0	27	165	1	139	6.29E-91	278	100
PpEC23	AMS24306.1	100	291	0	0	1	291	1	291	0	583	100
AVRa1	CCU81904.1	100	118	0	0	1	118	1	118	5.92E-82	246	100
AVRa13	CCU76657.1	100	122	0	0	1	122	1	122	4.37E-85	254	100
BEC	CCU83219.1	100	118	0	0	1	118	1	118	5.28E-83	249	100
4.00 BEC	AEQ16462.1	100	235	0	0	1	235	1	235	1.68E-162	459	100
BEC	AHZ59730.1	100	316	0	0	1	316	1	316	0	661	100
BEC	CCU74634.1	100	237	0	0	1	237	1	237	3.80E-177	500	100
CSEP0105	CCU74273.1	100	128	0	0	1	128	1	128	2.01E-87	261	100
CSEP0162	CCU82600.1	100	155	0	0	1	155	1	155	1.11E-113	329	100
AvrPm3	ALJ53448.1	100	130	0	0	1	130	1	130	3.64E-90	268	100
Avrfom2	EXK24251.1	100	167	0	0	1	167	1	167	5.08E-119	343	100
Foa3	EGU72564.1	100	199	0	0	1	199	1	199	1.25E-146	416	100
Foa4	KAJ0138723.1	100	103	0	0	1	103	39	141	7.12E-71	218	100
Foa4	XP_018246160.1	100	103	0	0	1	103	39	141	7.12E-71	218	100
Foa4	EWY87291.1	100	103	0	0	1	103	39	141	1.03E-70	218	100
Foa4	EXA38349.1	100	103	0	0	1	103	39	141	1.10E-70	218	100
Foa4	XP_031036209.3	100	103	0	0	1	103	1	103	1.68E-70	216	100
SIX3	XP_018257288.1	100	163	0	0	1	163	1	163	1.83E-116	337	100
SIX3	UEC48529.1	100	126	0	0	9	134	1	126	4.76E-88	264	100
SIX5	XP_018257286.1	100	119	0	0	1	119	1	119	5.39E-83	249	100
SIX8	ACN69118.1	100	141	0	0	1	141	1	141	1.72E-97	287	100
SIX8	ASR12279.1	100	78	0	0	57	134	1	78	1.02E-47	159	100
SIX8	QMX85398.1	100	77	0	0	57	133	1	77	4.22E-47	157	100
SIX8	QMX85397.1	100	74	0	0	61	134	1	74	2.36E-44	150	100
SIX8	QQN93316.1	100	25	0	0	25	49	1	25	1.25E-06	53.9	100
